"Age,Income,Score,Purchased"
"22,15000,39,0"
"25,18000,81,1"
"47,52000,6,0"
"52,65000,77,1"
"46,59000,40,0"
"56,72000,76,1"
"23,20000,94,1"
"36,45000,3,0"
"28,30000,72,1"
"54,68000,14,0"
"32,41000,60,1"
"40,50000,55,1"
"29,32000,20,0"
"41,53000,90,1"
"35,48000,15,0"
"50,61000,85,1"
"27,29000,63,1"
"38,47000,10,0"
"44,56000,88,1"
"31,39000,25,0"
"26,27000,77,1"
"48,58000,12,0"
"33,42000,93,1"
"45,60000,35,0"
"37,46000,78,1"
"24,22000,5,0"
"53,67000,66,1"
"30,36000,30,0"
"42,54000,82,1"
"34,44000,18,0"
"55,71000,91,1"
"21,14000,8,0"
"39,49000,70,1"
"43,55000,22,0"
"28,31000,89,1"
"49,60000,16,0"
"36,47000,74,1"
"52,64000,9,0"
"27,28000,95,1"
"46,59000,27,0"
"31,37000,84,1"
"41,52000,11,0"
"35,46000,73,1"
"23,21000,19,0"
"50,62000,92,1"
"29,33000,7,0"
"38,48000,68,1"
"44,57000,24,0"
"32,40000,80,1"
"47,61000,13,0"
"26,26000,87,1"
"53,69000,21,0"
"34,43000,79,1"
"45,59000,17,0"
"37,47000,83,1"
"22,16000,26,0"
"54,70000,96,1"
"30,35000,28,0"
"42,53000,75,1"
"39,50000,31,0"
"28,30000,90,1"
"48,62000,23,0"
"36,46000,86,1"
"51,66000,29,0"
"25,24000,88,1"
"43,55000,33,0"
"33,42000,81,1"
"46,58000,36,0"
"27,29000,92,1"
"40,51000,34,0"
"35,45000,85,1"
"52,65000,38,0"
"29,32000,94,1"
"44,57000,41,0"
"31,38000,89,1"
"47,60000,43,0"
"26,27000,97,1"
"38,49000,44,0"
"50,63000,91,1"
"34,43000,46,0"
"41,54000,93,1"
"23,22000,47,0"
"55,71000,98,1"
"37,47000,49,0"
"28,31000,95,1"
"45,59000,50,0"
"32,41000,87,1"
"49,62000,52,0"
"36,46000,99,1"
"53,68000,53,0"
"30,36000,96,1"
"42,54000,54,0"
"39,50000,92,1"
